name,number,year,fuel,power,transmission,passengers,length,url
"Mercedes-Benz 316 CDI Sprinter Streetline, 8+1 pass",1196,2011,Diesel,120,Manuell,8+1,"5,9",https://www.busscenter.se/sv-SE/1196-39101345
"Mercedes-Benz 315 CDI Sprinter Streetline, 8+1 pass",1190,2011,Diesel,110,Automat,8+1,"5,9",https://www.busscenter.se/sv-SE/1190-39101529
"Iveco First Tourline, 27+1 pass",1189,2011,Diesel,125,Manuell,27+1,"8,04",https://www.busscenter.se/sv-SE/1189-39101690
"Mercedes-Benz 519 CDI Sprinter Tourline L, 22 pass",1188,2011,Diesel,140,Automat,22,"7,65",https://www.busscenter.se/sv-SE/1188-39101920
"Mercedes-Benz 516 CDI Sprinter Tourline L, 22 pass",1178,2011,Diesel,120,Automat,22,"7,65",https://www.busscenter.se/sv-SE/1178-39101972
"Mercedes-Benz 516 CDI Sprinter Tourline, 19 pass",1173,2011,Diesel,120,Manuell,19,"7,35",https://www.busscenter.se/sv-SE/1173-39102016
"Mercedes-Benz 516 CDI Sprinter Ecoline L, 22 pass",1172,2011,Diesel,120,Automat,22,"7,65",https://www.busscenter.se/sv-SE/1172-39102139
"Mercedes-Benz 315 CDI Sprinter Streetline, 8+1 pass",1163,2011,Diesel,110,Automat,8+1,"5,9",https://www.busscenter.se/sv-SE/1163-39102182
"Mercedes-Benz 516 CDI Sprinter Tourline, 16 pass",1152,2011,Diesel,120,Automat,16,"7,35",https://www.busscenter.se/sv-SE/1152-39102248
"Mercedes-Benz 516 CDI Sprinter Ecoline L, 22 pass",1144,2011,Diesel,120,Automat,22,"7,65",https://www.busscenter.se/sv-SE/1144-39102290
"Mercedes-Benz 516 CDI Sprinter Tourline, 19 pass",1143,2011,Diesel,120,Automat,16,"7,35",https://www.busscenter.se/sv-SE/1143-39102645
"Mercedes-Benz 516 CDI Sprinter Tourline, 19 pass",1140,2011,Diesel,120,Automat,19,"7,35",https://www.busscenter.se/sv-SE/1140-39102728
"Mercedes-Benz 516 CDI Sprinter Tourline, 19 pass",1129,2011,Diesel,120,Automat,19,"7,35",https://www.busscenter.se/sv-SE/1129-39102775
"Mercedes-Benz 516 CDI Sprinter Multiline, 19 pass",1109,2011,Diesel,120,Automat,19,"7,35",https://www.busscenter.se/sv-SE/1109-39102813
"Mercedes-Benz 516 CDI Sprinter Multiline L, 22 pass",1064,2011,Diesel,120,Automat,22,"7,65",https://www.busscenter.se/sv-SE/1064-39102942
"Mercedes-Benz 519 CDI Sprinter Multiline, 19 pass",1076,2011,Diesel,140,Automat,19,"7,35",https://www.busscenter.se/sv-SE/1076-39102899
"VW Crafter Multiline L, 22 pass",1032,2011,Diesel,120,Manuell,22,"7,65",https://www.busscenter.se/sv-SE/1032-39103032
"Mercedes-Benz 519 CDI Sprinter Multiline, 19 pass",1029,2011,Diesel,140,Automat,19,"7,35",https://www.busscenter.se/sv-SE/1029-39103159
"VW Crafter Tourline, 19 pass",1025,2011,Diesel,120,Manuell,19,"7,35",https://www.busscenter.se/sv-SE/1025-39103424
"VW Crafter Tourline, 19 pass",1026,2011,Diesel,120,Manuell,19,"7,35",https://www.busscenter.se/sv-SE/1026-39103220
"Mercedes-Benz 516 CDI Sprinter Tourline L, 22 pass",1024,2011,Diesel,120,Automat,22,"7,65",https://www.busscenter.se/sv-SE/1024-39103499
"Mercedes-Benz 516 CDI Sprinter Torline, 19 pass",1020,2011,Diesel,120,Automat,19,"7,35",https://www.busscenter.se/sv-SE/1020-39103549
"Mercedes-Benz 516 CDI Sprinter Multiline L, 22 pass",1014,2011,Diesel,120,Automat,22,"7,65",https://www.busscenter.se/sv-SE/1014-39103632
"Mercedes-Benz 519 CDI Sprinter Multiline, 19 pass",1029,2011,Diesel,140,Automat,19,"7,35",https://www.busscenter.se/sv-SE/1029-39103159
