name,number,year,fuel,power,transmission,passengers,length,url
"Mercedes-Benz 516 CDI Sprinter U Ecoline HK, 19 pass",1941,2017,Diesel,120,Automat,19,7.35,https://www.busscenter.se/sv-SE/1941-38581599
"Mercedes-Benz 516 CDI Sprinter Tourline L, 22 pass",1932,2017,Diesel,120,Automat,22,7.75,https://www.busscenter.se/sv-SE/1932-38583623
"Iveco First Tourline, 27+1 pass",1931,2017,Diesel,132,Automat,27+1,"8,04",https://www.busscenter.se/sv-SE/1931-38584647
"Mercedes-Benz 516 CDI Sprinter Tourline L, 22 pass",1930,2017,Diesel,120,Automat,22,7.75,https://www.busscenter.se/sv-SE/1930-38584684
"Mercedes-Benz 516 CDI Sprinter Tourline, 19 pass",1919,2017,Diesel,120,Automat,19,7.35,https://www.busscenter.se/sv-SE/1919-38584717
"Iveco First Tourline CNG, 29 pass",1918,2017,CNG,100,Automat,29,"8,04",https://www.busscenter.se/sv-SE/1918-38584761
"Iveco First Tourline CNG, 29 pass",1917,2017,CNG,100,Automat,29,"8,04",https://www.busscenter.se/sv-SE/1917-38584813
"Mercedes-Benz 519 CDI Sprinter Multiline L, 22 pass",1915,2017,Diesel,120,Automat,22,7.75,https://www.busscenter.se/sv-SE/1915-38593753
"Mercedes-Benz 516 CDI Sprinter UL, 22 pass",1913,2017,Diesel,120,Automat,22,7.63,https://www.busscenter.se/sv-SE/1913-38594158
"Mercedes-Benz 516 CDI Sprinter Ecoline HK, 19 pass",1905,2017,Diesel,120,Automat,19,7.65,https://www.busscenter.se/sv-SE/1905-38594354
"Mercedes-Benz 516 CDI Sprinter Ecoline HK, 19 pass",1904,2017,Diesel,120,Automat,19,7.65,https://www.busscenter.se/sv-SE/1904-38594414
"Iveco Multiline CNG, 22 pass",1903,2017,CNG,100,Automat,19,7.62,https://www.busscenter.se/sv-SE/1903-38594537
"Iveco Multiline CNG, 22 pass",1902,2017,CNG,100,Automat,19,7.62,https://www.busscenter.se/sv-SE/1902-38594796
"Iveco Multiline CNG, 22 pass",1901,2017,CNG,100,Automat,19,7.62,https://www.busscenter.se/sv-SE/1901-38594850
"MB 516 CDI Multiline L, 22 pass",1900,2017,diesel,120,Automat,22,7.75,https://www.busscenter.se/sv-SE/1900-38595029
"MB 516 CDI Multiline L, 22 pass",1899,2017,diesel,120,Automat,22,7.75,https://www.busscenter.se/sv-SE/1899-38595375
"MB 519 CDI Multiline L, 22 pass",1898,2017,diesel,140,Automat,22,7.75,https://www.busscenter.se/sv-SE/1898-38595939
"MB 314 CDI Sprinter Streetline HK, 8 pass",1897,2017,diesel,105,Automat,8,"6,1",https://www.busscenter.se/sv-SE/1897-38596050
"MB 314 CDI Sprinter Streetline HK, 8 pass",1896,2017,diesel,105,Automat,8,"6,1",https://www.busscenter.se/sv-SE/1896-38596117
"MB 314 CDI Sprinter Streetline HK, 8 pass",1893,2017,diesel,105,Automat,8,"6,1",https://www.busscenter.se/sv-SE/1893-38596516
