name,number,year,fuel,power,transmission,passengers,length,url
"Mercedes-Benz 316 CDI Sprinter Streetline HHK, 8 pass",1689,2015,Diesel,120,Automat,8,"5,93",https://www.busscenter.se/sv-SE/1689-38914949
"Mercedes-Benz 516 CDI Sprinter Cityline, 16+6 pass",1686,2015,Diesel,120,Automat,16+6,7.35,https://www.busscenter.se/sv-SE/1686-38915069
"Mercedes-Benz 519 CDI Sprinter Tourline L, 22 pass",1684,2015,Diesel,140,Automat,22,7.65,https://www.busscenter.se/sv-SE/1684-38915141
"Mercedes-Benz 516 CDI Sprinter Multiline L, 22 pass",1680,2015,Diesel,120,Automat,22,7.65,https://www.busscenter.se/sv-SE/1680-38915414
"Mercedes-Benz 516 CDI Sprinter Ecoline L, 22 pass",1679,2015,Diesel,120,Automat,22,7.65,https://www.busscenter.se/sv-SE/1679-38915485
"Mercedes-Benz 516 CDI Sprinter Tourline L, 22 pass",1672,2015,Diesel,120,Automat,22,7.65,https://www.busscenter.se/sv-SE/1672-38915550
"Mercedes-Benz 516 CDI Sprinter Tourline, 19 pass",1666,2015,Diesel,120,Automat,19,7.35,https://www.busscenter.se/sv-SE/1666-38915628
"Mercedes-Benz 516 CDI Sprinter Tourline, 19 pass",1665,2015,Diesel,120,Automat,19,7.35,https://www.busscenter.se/sv-SE/1665-38915757
"Mercedes-Benz 516 CDI Sprinter Ecoline L, 22 pass",1660,2015,Diesel,120,Automat,22,7.65,https://www.busscenter.se/sv-SE/1660-38915842
"Iveco First Tourline L, 29+1 pass",1659,2016,diesel,125,Manuell,29+1,"8,46",https://www.busscenter.se/sv-SE/1659-38916007
"Mercedes-Benz 516 CDI Sprinter Multiline L, 22 pass",1655,2015,Diesel,120,Automat,22,7.65,https://www.busscenter.se/sv-SE/1655-38916228
"Mercedes-Benz 519 CDI Sprinter Multiline L, 22 pass",1654,2015,Diesel,140,Automat,22,7.65,https://www.busscenter.se/sv-SE/1654-38916328
"Iveco First Tourline L, 29+1 pass",1650,2015,diesel,125,Manuell,29+1,"8,46",https://www.busscenter.se/sv-SE/1650-38916402
"Mercedes-Benz 516 CDI Sprinter Businessline, 16+1 pass",1649,2015,Diesel,120,Automat,16+1,7.35,https://www.busscenter.se/sv-SE/1649-38916473
"Mercedes-Benz 319 CDI Sprinter Streetline HHK, 8 pass",1639,2015,Diesel,140,Automat,8,"5,93",https://www.busscenter.se/sv-SE/1639-38916666
"Iveco First Cityline, 19+10 pass",1633,2015,diesel,125,Automat,19+10,"8,04",https://www.busscenter.se/sv-SE/1633-38917049
"Mercedes-Benz 516 CDI Sprinter Tourline, 19 pass",1629,2015,Diesel,120,Automat,19,7.35,https://www.busscenter.se/sv-SE/1629-38917418
"Mercedes-Benz 516 CDI Sprinter Tourline L, 16 pass",1628,2015,Diesel,120,Automat,16,7.65,https://www.busscenter.se/sv-SE/1628-38917459
"Mercedes-Benz 516 CDI Sprinter Tourline, 19 pass",1627,2015,Diesel,120,Automat,19,7.35,https://www.busscenter.se/sv-SE/1627-38919270
"Mercedes-Benz 516 CDI Sprinter Tourline L, 16 pass",1622,2015,Diesel,120,Automat,16,7.65,https://www.busscenter.se/sv-SE/1622-38921419
"Mercedes-Benz 519 CDI Sprinter Tourline L, 22 pass",1619,2015,Diesel,140,Automat,22,7.65,https://www.busscenter.se/sv-SE/1619-38921459
"Mercedes-Benz 516 CDI Sprinter Tourline, 19 pass",1617,2015,Diesel,120,Automat,19,7.35,https://www.busscenter.se/sv-SE/1617_-38921481
"Mercedes-Benz 516 CDI Sprinter Ecoline L, 22 pass",1613,2015,Diesel,120,Manuell,22,7.65,https://www.busscenter.se/sv-SE/1613-38921501
"Mercedes-Benz 516 CDI Sprinter Tourline L, 22 pass",1607,2015,Diesel,120,Automat,22,7.65,https://www.busscenter.se/sv-SE/1607-38921521
"Mercedes-Benz 516 CDI Sprinter Tourline L, 22 pass",1602,2015,Diesel,120,Automat,22,7.65,https://www.busscenter.se/sv-SE/1602-38921542
"Mercedes-Benz 516 CDI Sprinter Multiline HK, 19 pass",1601,2015,Diesel,120,Automat,19,7.35,https://www.busscenter.se/sv-SE/1601-38921563
"Mercedes-Benz 516 CDI Sprinter Tourline L, 22 pass",1600,2015,Diesel,120,Automat,22+1,7.65,https://www.busscenter.se/sv-SE/1600-38921587
"Mercedes-Benz 516 CDI Sprinter Tourline, 19 pass",1598,2015,Diesel,120,Automat,19,7.35,https://www.busscenter.se/sv-SE/1598-38921607
"Mercedes-Benz 516 CDI Sprinter Ecoline HK, 19 pass",1597,2015,Diesel,120,Automat,19,7.35,https://www.busscenter.se/sv-SE/1597-38921650
"Mercedes-Benz 516 CDI Sprinter Tourline, 19 pass",1596,2015,Diesel,120,Automat,19,7.35,https://www.busscenter.se/sv-SE/1596-38931706
"Mercedes-Benz 516 CDI Sprinter Tourline L, 22 pass",1593,2015,Diesel,120,Automat,22,7.65,https://www.busscenter.se/sv-SE/1593-38931823
"Mercedes-Benz 516 CDI Sprinter Ecoline L, 22 pass",1592,2015,Diesel,120,Automat,22,7.65,https://www.busscenter.se/sv-SE/1592-38931890
"Mercedes-Benz 519 CDI Sprinter Tourline, 16 pass",1591,2015,Diesel,140,Automat,16,7.35,https://www.busscenter.se/sv-SE/1591-38932154
"Mercedes-Benz 519 CDI Sprinter Tourline, 19 pass",1590,2015,Diesel,140,Automat,19,7.65,https://www.busscenter.se/sv-SE/1590-38932225
"Iveco First Tourline L, 29+1 pass",1588,2015,diesel,120,Automat,29+1,"8,46",https://www.busscenter.se/sv-SE/1588-38932288
"Mercedes-Benz 516 CDI Sprinter Ecoline L, 22 pass",1581,2015,Diesel,120,Automat,22,7.65,https://www.busscenter.se/sv-SE/1581-38932862
"Mercedes-Benz 519 CDI Sprinter Businessline L, 16 pass",1570,2015,Diesel,140,Automat,16,7.65,https://www.busscenter.se/sv-SE/1570-38932891
"Iveco First Tourline L, 24+1 pass, WC",1569,2015,diesel,120,Automat,24+1,"8,46",https://www.busscenter.se/sv-SE/1569-38932942
"Mercedes-Benz 516 CDI Sprinter Multiline L, 22 pass",1564,2015,Diesel,120,Automat,22,7.65,https://www.busscenter.se/sv-SE/1564-38932981
