name,number,year,fuel,power,transmission,passengers,length,url
"Iveco First Tourline, 25 pass",1019,2010,Diesel,125,Manuell,25,"8,04",https://www.busscenter.se/sv-SE/1019-39105225
"Mercedes-Benz 516 CDI Sprinter Multiline, 19 pass",1015,2010,Diesel,120,Manuell,19,"7,35",https://www.busscenter.se/sv-SE/1015-39105266
"VW Crafter Tourline, 19 pass",1010,2010,Diesel,120,Manuell,19,"7,35",https://www.busscenter.se/sv-SE/1010-39105315
"Mercedes-Benz 516 CDI Sprinter Multiline L, 22 pass",1006,2010,Diesel,120,Automat,22,"7,65",https://www.busscenter.se/sv-SE/1006-39105353
"Mercedes-Benz 516 CDI Sprinter Ecoline L, 22 pass",1004,2010,Diesel,120,Manuell,22,"7,65",https://www.busscenter.se/sv-SE/1004-39105408
"Mercedes-Benz 516 CDI Sprinter Ecoline L, 22 pass",1000,2010,Diesel,120,Manuell,22,"7,65",https://www.busscenter.se/sv-SE/1000-39105443
"Mercedes-Benz 516 CDI Sprinter Tourline, 19 pass",978,2010,Diesel,120,Manuell,19,"7,35",https://www.busscenter.se/sv-SE/978-39105468
"Mercedes-Benz 516 CDI Sprinter Tourline, 19 pass",977,2010,Diesel,120,Manuell,19,"7,35",https://www.busscenter.se/sv-SE/977-39105503
"Mercedes-Benz 516 CDI Sprinter Tourline, 19 pass",957,2010,Diesel,120,Automat,19,"7,35",https://www.busscenter.se/sv-SE/957-39112376
"Mercedes-Benz 516 CDI Sprinter Tourline, 19 pass",953,2010,Diesel,120,Automat,19,"7,35",https://www.busscenter.se/sv-SE/953-39112417
"Mercedes-Benz 519 CDI Sprinter Multiline, 19 pass",952,2010,Diesel,140,Manuell,19,"7,35",https://www.busscenter.se/sv-SE/952-39112464
"Iveco Multiline, 19 pass",939,2010,Diesel,,Manuell,19,,https://www.busscenter.se/sv-SE/939-39112549
"Mercedes-Benz 516 CDI Sprinter Ecoline L, 22 pass",938,2010,Diesel,120,Manuell,22,"7,65",https://www.busscenter.se/sv-SE/938-39112607
"Mercedes-Benz 516 CDI Sprinter Tourline, 19 pass",937,2010,Diesel,120,Manuell,19,"7,35",https://www.busscenter.se/sv-SE/937-39112636
"Mercedes-Benz 519 CDI Sprinter Multiline, 19 pass",928,2010,Diesel,140,Automat,19,"7,35",https://www.busscenter.se/sv-SE/928-39112706
"Mercedes-Benz 519 CDI Sprinter Multiline, 19 pass",935,2010,Diesel,140,Manuell,19,"7,35",https://www.busscenter.se/sv-SE/935-39112683
"Mercedes-Benz 515 CDI Sprinter Tourline, 16 pass",913,2009,Diesel,120,Manuell,16,"7,35",https://www.busscenter.se/sv-SE/913-39112737
"Mercedes-Benz 516 CDI Sprinter Multiline, 19 pass",912,2010,Diesel,120,Manuell,19,"7,35",https://www.busscenter.se/sv-SE/912-39112779
