name,number,year,fuel,power,transmission,passengers,length,url
"Mercedes-Benz 516 CDI Sprinter Ecoline HK, 19 pass",1380,2012,Diesel,120,Automat,19,"7,35",https://www.busscenter.se/sv-SE/1380-39093759
"Mercedes-Benz 516 CDI Sprinter Ecoline L, 22 pass",1377,2012,Diesel,120,Automat,22,"7,65",https://www.busscenter.se/sv-SE/1377-39080875
"Mercedes-Benz 0818 Tourline, 29+1 pass",1373,2012,Diesel,130,Manuell,29+1,"8,7",https://www.busscenter.se/sv-SE/1483-39070357
"Mercedes-Benz 516 CDI Sprinter Ecoline LHK, 22 pass",1369,2012,Diesel,120,Automat,22,"7,65",https://www.busscenter.se/sv-SE/1369-39081270
"Mercedes-Benz 516 CDI Sprinter Tourline L, 22 pass",1364,2012,Diesel,120,Automat,22,"7,65",https://www.busscenter.se/sv-SE/1364-39081379
"Mercedes-Benz 516 CDI Sprinter Ecoline LHK, 22 pass",1340,2012,Diesel,120,Manuell,22,"7,65",https://www.busscenter.se/sv-SE/1359-39081434
"Mercedes-Benz 519 CDI Sprinter Tourline, 19 pass",1353,2012,Diesel,140,Automat,19,"7,35",https://www.busscenter.se/sv-SE/1353-39081520
"Mercedes-Benz 0818 Tourline, 29+1 pass",1351,2012,Diesel,130,Manuell,29+1,"8,7",https://www.busscenter.se/sv-SE/1351-39081686
"Mercedes-Benz 0818 Tourline, 29+1 pass",1345,2012,Diesel,130,Manuell,29+1,"8,7",https://www.busscenter.se/sv-SE/1345-39081721
"Mercedes-Benz 315 CDI Sprinter Streetline, 8+1 pass",1344,2012 (2011),Diesel,110,Automat,8+1,"5,9",https://www.busscenter.se/sv-SE/1344-39081767
"Mercedes-Benz 516 CDI Sprinter Tourline, 19 pass",1343,2012,Diesel,120,Manuell,19,"7,35",https://www.busscenter.se/sv-SE/1343-39081838
"Mercedes-Benz 516 CDI Sprinter Ecoline LHK, 22 pass",1340,2012,Diesel,120,Manuell,22,"7,65",https://www.busscenter.se/sv-SE/1340-39088791
"Mercedes-Benz 516 CDI Sprinter Ecoline LHK, 22 pass",1339,2012,Diesel,120,Manuell,22,"7,65",https://www.busscenter.se/sv-SE/1339-39088907
"Iveco First Tourline, 27+1 pass",1338,2012,Diesel,125,Automat,27+1,"8,04",https://www.busscenter.se/sv-SE/1338-39089088
"Mercedes-Benz 516 CDI Sprinter Tourline, 19 pass",1337,2012,Diesel,120,Automat,19,"7,35",https://www.busscenter.se/sv-SE/1337-39089185
"Mercedes-Benz 516 CDI Sprinter Ecoline LHK, 22 pass",1333,2012,Diesel,120,Automat,22,"7,65",https://www.busscenter.se/sv-SE/1333-39089238
"Iveco First Tourline, 27+1 pass",1329,2012,Diesel,125,Manuell,27+1,"8,04",https://www.busscenter.se/sv-SE/1329-39089371
"Mercedes-Benz 516 CDI Sprinter Tourline, 19 pass",1325,2012,Diesel,120,Automat,19,"7,35",https://www.busscenter.se/sv-SE/1325-39089470
"Mercedes-Benz 516 CDI Sprinter Ecoline LHK, 22 pass",1323,2012,Diesel,120,Automat,22,"7,65",https://www.busscenter.se/sv-SE/1323-39089541
"Iveco First Tourline, 26+1 pass",1320,2012,Diesel,125,Automat,26+1,"8,04",https://www.busscenter.se/sv-SE/1320-39089600
"Mercedes-Benz 516 CDI Sprinter Multiline HK, 19 pass",1319,2012,Diesel,120,Manuell,19,"7,35",https://www.busscenter.se/sv-SE/1319-39089715
"Mercedes-Benz 516 CDI Sprinter Ecoline, 22 pass",1317,2012,Diesel,120,Automat,22,"7,65",https://www.busscenter.se/sv-SE/1317-39089775
"Mercedes-Benz 516 CDI Sprinter Tourline, 19 pass",1313,2012,Diesel,120,Manuell,19,"7,35",https://www.busscenter.se/sv-SE/1313-39089821
"Mercedes-Benz 516 CDI Sprinter Tourline, 19 pass",1312,2012,Diesel,120,Automat,19,"7,35",https://www.busscenter.se/sv-SE/1312-39089885
"Mercedes-Benz 516 CDI Sprinter Ecoline L, 22 pass",1311,2012,Diesel,120,Manuell,22,"7,65",https://www.busscenter.se/sv-SE/1311-39090048
"Mercedes-Benz 516 CDI Sprinter Multiline L, 22 pass",1310,2012,Diesel,120,Manuell,22,"7,65",https://www.busscenter.se/sv-SE/1310-39090196
"Mercedes-Benz 516 CDI Sprinter Ecoline L, 22 pass",1309,2012,Diesel,120,Manuell,22,"7,65",https://www.busscenter.se/sv-SE/1309-39090245
"Mercedes-Benz 516 CDI Sprinter Multiline LHK, 19 pass",1305,2012,Diesel,120,Automat,19,"7,65",https://www.busscenter.se/sv-SE/1305-39090338
"Mercedes-Benz 516 CDI Sprinter Ecoline L, 22 pass",1292,2012,Diesel,120,Automat,22,"7,65",https://www.busscenter.se/sv-SE/1292-39090391
"Mercedes-Benz 516 CDI Sprinter Ecoline L, 22 pass",1291,2012,Diesel,120,Automat,22,"7,65",https://www.busscenter.se/sv-SE/1291-39090444
"Mercedes-Benz 516 CDI Sprinter Tourline, 19 pass",1283,2012,Diesel,120,Automat,19,"7,35",https://www.busscenter.se/sv-SE/1283-39090882
"Mercedes-Benz 516 CDI Sprinter Ecoline LHK, 22 pass",1281,2012,Diesel,120,Automat,22,"7,65",https://www.busscenter.se/sv-SE/1281-39090915
"Iveco First Tourline, 26 pass",1277,2012,Diesel,125,Automat,26,"8,04",https://www.busscenter.se/sv-SE/1277-39091034
"Mercedes-Benz 519 CDI Sprinter Tourline, 16 pass",1275,2012,Diesel,140,Automat,16,"7,35",https://www.busscenter.se/sv-SE/1275-39091181
"Mercedes-Benz 516 CDI Sprinter Tourline, 19 pass",1274,2012,Diesel,120,Automat,19,"7,35",https://www.busscenter.se/sv-SE/1274-39091267
"Iveco First Tourline, 26+1 pass",1272,2012,Diesel,125,Automat,26+1,"8,04",https://www.busscenter.se/sv-SE/1272-39092216
"Mercedes-Benz 516 CDI Sprinter Multiline LHK, 19 pass",1266,2012,Diesel,120,Automat,22,"7,65",https://www.busscenter.se/sv-SE/1266-39092314
"Mercedes-Benz 516 CDI Sprinter Tourline, 19 pass",1264,2012,Diesel,120,Automat,19,"7,35",https://www.busscenter.se/sv-SE/1264-39092365
"Mercedes-Benz 0818 Tourline, 29+1 pass",1260,2012,Diesel,130,Manuell,29+1,"8,7",https://www.busscenter.se/sv-SE/1260-39092485
"Mercedes-Benz 516 CDI Sprinter Ecoline HK, 19 pass",1281,2012,Diesel,120,Automat,19,"7,35",https://www.busscenter.se/sv-SE/1259-39092585
"Mercedes-Benz 516 CDI Sprinter Tourline, 19 pass",1251,2012,Diesel,120,Automat,19,"7,35",https://www.busscenter.se/sv-SE/1251-39092722
"Mercedes-Benz 519 CDI Sprinter Ecoline L, 22 pass",1244,2012,Diesel,140,Automat,22,"7,35",https://www.busscenter.se/sv-SE/1244-39092808
"Mercedes-Benz 316 CDI Sprinter Streetline HK, 8+1 pass",1239,2012,Diesel,120,Manuell,8+1,"5,91",https://www.busscenter.se/sv-SE/1239-39092950
"Mercedes-Benz 316 CDI Sprinter Streetline HK, 8+1 pass",1237,2012,Diesel,120,Manuell,8+1,"5,91",https://www.busscenter.se/sv-SE/1237-39093075
"Mercedes-Benz 516 CDI Sprinter Ecoline L, 22 pass",1231,2012,Diesel,120,Automat,22,"7,35",https://www.busscenter.se/sv-SE/1231-39093112
"Mercedes-Benz 516 CDI Sprinter Ecoline L, 22 pass",1230,2012,Diesel,120,Automat,22,"7,65",https://www.busscenter.se/sv-SE/1230-39093207
"Mercedes-Benz 516 CDI Sprinter Multiline L, 22 pass",1227,2012,Diesel,120,Automat,22,"7,65",https://www.busscenter.se/sv-SE/1227-39093238
"Mercedes-Benz 516 CDI Sprinter Tourline, 19 pass",1226,2012,Diesel,120,Automat,19,"7,35",https://www.busscenter.se/sv-SE/1226-39093280
"Mercedes-Benz 516 CDI Sprinter Tourline, 19 pass",1217,2012,Diesel,120,Automat,19,"7,35",https://www.busscenter.se/sv-SE/1217-39093362
"Mercedes-Benz 516 CDI Sprinter Tourline, 19 pass",1217,2012,Diesel,120,Automat,19,"7,35",https://www.busscenter.se/sv-SE/1214-39093392
