name,number,year,fuel,power,transmission,passengers,length,url
"Mercedes-Benz 516 CDI Sprinter Ecoline L, 22 pass",1595,2014,Diesel,120,Automat,22,7.65,https://www.busscenter.se/sv-SE/1595-38933047
"Mercedes-Benz 516 CDI Sprinter Ecoline HK, 19 pass",1589,2014,Diesel,120,Automat,19,7.55,https://www.busscenter.se/sv-SE/1589-38933086
"Mercedes-Benz 516 CDI Sprinter Ecoline L, 22 pass",1585,2014,Diesel,120,Manuell,22,7.65,https://www.busscenter.se/sv-SE/1585-38933151
"Mercedes-Benz 516 CDI Sprinter Ecoline L, 22 pass",1584,2014,Diesel,120,Automat,22,7.65,https://www.busscenter.se/sv-SE/1584-38933185
"Iveco First Cityline L, 22+10 pass",1574,2014,Diesel,125,Automat,22+10,"8,45",https://www.busscenter.se/sv-SE/1574-38943305
"Iveco First Tourline L, 29+1 pass",1573,2014,Diesel,125,Manuell,29+1,"8,46",https://www.busscenter.se/sv-SE/1573-38943379
"Mercedes-Benz 516 CDI Sprinter Tourline L, 22 pass",1571,2014,Diesel,120,Manuell,22,7.65,https://www.busscenter.se/sv-SE/1571-38943456
"Mercedes-Benz 516 CDI Sprinter Ecoline L, 22 pass",1572,2014,Diesel,120,Manuell,22,7.65,https://www.busscenter.se/sv-SE/1572-38943424
"Mercedes-Benz 516 CDI Sprinter Tourline L, 22 pass",1568,2014,Diesel,120,Automat,22,7.65,https://www.busscenter.se/sv-SE/1568-38943527
"Mercedes-Benz 516 CDI Sprinter Tourline L, 22 pass",1567,2014,Diesel,120,Automat,22,7.65,https://www.busscenter.se/sv-SE/1567-38943553
"Mercedes-Benz 516 CDI Sprinter Ecoline, 19 pass",1563,2014,Diesel,120,Automat,19,"7,35",https://www.busscenter.se/sv-SE/1563-38943611
"Mercedes-Benz 516 CDI Sprinter Tourline, 19 pass",1561,2014,Diesel,120,Automat,19,7.35,https://www.busscenter.se/sv-SE/1561-38943670
"Iveco First Tourline, 27+1 pass",1558,2014,Diesel,125,Automat,27+1,"8,04",https://www.busscenter.se/sv-SE/1558-39053202
"Mercedes-Benz 519 CDI Sprinter Tourline L, 22 pass",1557,2014,Diesel,140,Automat,22,7.65,https://www.busscenter.se/sv-SE/1557-39053253
"Iveco First Cityline L, 22+1+6 pass",1555,2014,Diesel,125,Automat,22+1+6,"8,45",https://www.busscenter.se/sv-SE/1555-39053306
"Mercedes-Benz 516 CDI Sprinter Tourline L, 22 pass",1554,2014,Diesel,120,Automat,22,7.65,https://www.busscenter.se/sv-SE/1554-39053363
"Mercedes-Benz 516 CDI Sprinter Tourline, 19 pass",1553,2014,Diesel,120,Automat,19,7.35,https://www.busscenter.se/sv-SE/1553-39053428
"Mercedes-Benz 516 CDI Sprinter Ecoline, 22 pass",1552,2014,Diesel,120,Automat,22,7.65,https://www.busscenter.se/sv-SE/1552-39053459
"Mercedes-Benz 516 CDI Sprinter Ecoline, 22 pass",1551,2014,Diesel,120,Manuell,22,7.65,https://www.busscenter.se/sv-SE/1551-39053495
"Mercedes-Benz 516 CDI Sprinter Ecoline, 22 pass",1550,2014,Diesel,120,Manuell,22,7.65,https://www.busscenter.se/sv-SE/1550-39053546
"Mercedes-Benz 516 CDI Sprinter Ecoline, 22 pass",1549,2014,Diesel,120,Manuell,22,7.65,https://www.busscenter.se/sv-SE/1549-39054992
"Mercedes-Benz 516 CDI Sprinter Ecoline, 19 pass",1548,2014,Diesel,120,Manuell,19,7.35,https://www.busscenter.se/sv-SE/1548-39055101
"Mercedes-Benz 516 CDI Sprinter Ecoline, 19 pass",1547,2014,Diesel,120,Automat,19,7.35,https://www.busscenter.se/sv-SE/1547-39055155
"Mercedes-Benz 516 CDI Sprinter Ecoline, 19 pass",1546,2014,Diesel,120,Manuell,19,7.35,https://www.busscenter.se/sv-SE/1546-39055219
"Mercedes-Benz 516 CDI Sprinter Ecoline, 19 pass",1545,2014,Diesel,120,Manuell,19,7.35,https://www.busscenter.se/sv-SE/1545-39055253
"Mercedes-Benz 516 CDI Sprinter Ecoline L, 22 pass",1544,2014,Diesel,120,Automat,22,7.65,https://www.busscenter.se/sv-SE/1544-39055751
"Mercedes-Benz 516 CDI Sprinter Tourline L, 22 pass",1542,2014,Diesel,120,Automat,22,7.65,https://www.busscenter.se/sv-SE/1542-39055836
