name,number,year,fuel,power,transmission,passengers,length,url
"Iveco First Tourline LHK, 27+1 pass",1951,2018,Diesel,132,Automat,27+1,"8,46",https://www.busscenter.se/sv-SE/1951-39566538
"Mercedes-Benz 319 CDI Sprinter Streetline HHK, 8 pass",1949,,Diesel,140,Automat,8,"5,93",https://www.busscenter.se/sv-SE/1949-39335433
"Mercedes-Benz 519 CDI Sprinter Tourline, 19+1 pass",1945,2018,Diesel,140,Automat,19+1,7.35,https://www.busscenter.se/sv-SE/1945-38864824
"Mercedes-Benz 516 CDI Sprinter U Ecoline HK, 19 pass",1942,2017,Diesel,120,Automat,19,7.35,https://www.busscenter.se/sv-SE/1942-38581886
"Mercedes-Benz 516 CDI Sprinter Multiline L, 22 pass",1940,2018,Diesel,120,Automat,22,7.75,https://www.busscenter.se/sv-SE/1940-38563186
"Mercedes-Benz 516 CDI Sprinter Multiline L, 22 pass",1939,2018,Diesel,120,Automat,22,7.75,https://www.busscenter.se/sv-SE/1939-38563161
"Mercedes-Benz 516 CDI Sprinter Tourline L, 22 pass",1937,2018,Diesel,120,Automat,22,7.75,https://www.busscenter.se/sv-SE/1937-38548711
"Mercedes-Benz 516 CDI Sprinter Tourline L, 19 pass",1936,2018,Diesel,120,Automat,19,7.75,https://www.busscenter.se/sv-SE/1936-38548894
"Mercedes-Benz 516 CDI Sprinter U Ecoline L, 22 pass",1933,2018,Diesel,120,Automat,22,7.75,https://www.busscenter.se/sv-SE/1933-38549208
"Iveco First Tourline, 27+1 pass",1929,2017,Diesel,132,Automat,27+1,"8,46",https://www.busscenter.se/sv-SE/1929-38549383
"MB 516 CDI Sprinter U Ecoline L, 22 pass",1927,2018,Diesel,120,Automat,22,7.75,https://www.busscenter.se/sv-SE/1927-38550225
"MB 516 CDI Sprinter Tourline XL, 19 pass",1928,2017,Diesel,120,Automat,19,7.75,https://www.busscenter.se/sv-SE/1928-38549536
"Mercedes-Benz 516 CDI Sprinter Tourline L, 22 pass",1876,2017,Diesel,120,Automat,22,7.75,https://www.busscenter.se/sv-SE/1876-38550392
"MB 516 CDI Sprinter U Ecoline L, 22 pass",1875,2017,Diesel,120,Automat,22,7.75,https://www.busscenter.se/sv-SE/1875-38550512
"Iveco First Tourline, 27+1 pass",1849,2017,Diesel,132,Automat,27+1,7.75,https://www.busscenter.se/sv-SE/1849-38550679
"MB 516 CDI Sprinter U Ecoline L, 22 pass",1859,2017,Diesel,120,Automat,22,7.75,https://www.busscenter.se/sv-SE/1859-38550604
"MB 516 CDI Sprinter Tourline, 16+1 pass",1841,2017,Diesel,120,Automat,16+1,7.35,https://www.busscenter.se/sv-SE/1841-38550815
"MB 516 CDI Sprinter Tourline, 16+1 pass",1837,2017,Diesel,120,Automat,16+1,7.35,https://www.busscenter.se/sv-SE/1837-38550848
"MB 516 CDI Sprinter Tourline, 19 pass",1814,2018,Diesel,120,Automat,19,7.35,https://www.busscenter.se/sv-SE/1814-38550912
