name,number,year,fuel,power,transmission,passengers,length,url
"Iveco First Tourline, 26+1 pass",1484,2013,Diesel,120,Manuell,26+1,"8,04",https://www.busscenter.se/sv-SE/1484-39070312
"Mercedes-Benz 0818 Tourline, 29+1 pass",1373,2012,Diesel,130,Manuell,29+1,"8,7",https://www.busscenter.se/sv-SE/1483-39070357
"Mercedes-Benz 519 CDI Sprinter Tourline, 19 pass",1477,2013,Diesel,140,Automat,19,7.35,https://www.busscenter.se/sv-SE/1477-39070421
"Mercedes-Benz 519 CDI Sprinter Tourline L, 22 pass",1469,2013,Diesel,140,Automat,22,"7,65",https://www.busscenter.se/sv-SE/1469-39070544
"Mercedes-Benz 519 CDI Sprinter Tourline L, 19 pass",1468,2013,Diesel,140,Automat,19,7.65,https://www.busscenter.se/sv-SE/1468-39070621
"Mercedes-Benz 516 CDI Sprinter Ecoline L, 22 pass",1463,2013,Diesel,120,Automat,22,7.65,https://www.busscenter.se/sv-SE/1463-39070662
"Mercedes-Benz 516 CDI Sprinter Tourline L, 22 pass",1458,2013,Diesel,120,Automat,22,7.65,https://www.busscenter.se/sv-SE/1458-39070710
"Iveco First Tourline, 27+1 pass",1456,2013,Diesel,120,Automat,27+1,"8,04",https://www.busscenter.se/sv-SE/1456-39070792
"Mercedes-Benz 516 CDI Sprinter Ecoline, 19 pass",1443,2013,Diesel,120,Automat,19,7.35,https://www.busscenter.se/sv-SE/1443-39070867
"Mercedes-Benz 516 CDI Sprinter Tourline, 19 pass",1442,2013,Diesel,120,Automat,19,7.35,https://www.busscenter.se/sv-SE/1442-39070911
"Mercedes-Benz 516 CDI Sprinter Ecoline L, 22 pass",1441,2013,Diesel,120,Automat,22,7.65,https://www.busscenter.se/sv-SE/1441-39070954
"Mercedes-Benz 519 CDI Sprinter Multiline HK, 16 pass",1427,2013,Diesel,140,Automat,16,7.35,https://www.busscenter.se/sv-SE/1427-39070986
"Mercedes-Benz 516 CDI Sprinter Ecoline LHK, 22 pass",1426,2013,Diesel,120,Automat,22,7.65,https://www.busscenter.se/sv-SE/1426-39078060
"Mercedes-Benz 516 CDI Sprinter Multiline HK, 19 pass",1423,2013,Diesel,120,Manuell,19,7.35,https://www.busscenter.se/sv-SE/1423-39078224
"Mercedes-Benz 519 CDI Sprinter Tourline, 19 pass",1421,2013,Diesel,140,Automat,19,7.35,https://www.busscenter.se/sv-SE/1421-39078328
"Mercedes-Benz 516 CDI Sprinter Ecoline L, 22 pass",1420,2013,Diesel,120,Automat,22,7.65,https://www.busscenter.se/sv-SE/1420-39078615
"Mercedes-Benz 516 CDI Sprinter Tourline L, 22 pass",1418,2013,Diesel,120,Manuell,22,7.65,https://www.busscenter.se/sv-SE/1418-39078646
"Iveco First Tourline, 26+1 pass",1417,2013,Diesel,120,Automat,26+1,"8,04",https://www.busscenter.se/sv-SE/1417-39078753
"Iveco First Skolbuss, 29+1 pass",1414,2013,Diesel,120,Automat,29+1,"8,04",https://www.busscenter.se/sv-SE/1414-39078847
"VW Crafter Multiline, 17 pass",1413,2013,Diesel,120,Manuell,17,"7,35",https://www.busscenter.se/sv-SE/1413-39079272
"Iveco First Mobilskola, 16 pass",1411,2013,Diesel,125,Automat,16,"8,04",https://www.busscenter.se/sv-SE/1411-39079374
"Iveco First Tourline, 27+1 pass",1405,2013,Diesel,125,Automat,27+1,"8,04",https://www.busscenter.se/sv-SE/1405-39079488
"Mercedes-Benz 516 CDI Sprinter Tourline L, 22 pass",1402,2013,Diesel,120,Automat,22,7.65,https://www.busscenter.se/sv-SE/1402-39079560
"VW Crafter Multiline HK, 19 pass",1400,2013,Diesel,120,Manuell,19,"7,35",https://www.busscenter.se/sv-SE/1400-39079613
"VW Crafter Multiline HK, 13 pass",1399,2013,Diesel,120,Manuell,13,"5,9",https://www.busscenter.se/sv-SE/1399-39079658
"Mercedes-Benz 516 CDI Sprinter Ecoline L, 22 pass",1398,2013,Diesel,120,Manuell,22,7.65,https://www.busscenter.se/sv-SE/1398-39079709
"Iveco First Tourline, 26 pass",1397,2013,Diesel,125,Automat,26,"8,04",https://www.busscenter.se/sv-SE/1397-39079754
"Mercedes-Benz 516 CDI Sprinter Ecoline L, 22 pass",1394,2013,Diesel,120,Automat,22,7.65,https://www.busscenter.se/sv-SE/1394-39079809
"Mercedes-Benz 519 CDI Sprinter Multiline LHK, 22 pass",1384,2013,Diesel,140,Automat,22,7.65,https://www.busscenter.se/sv-SE/1384-39079900
"Mercedes-Benz 519 CDI Sprinter Tourline, 16 pass",1383,2013,Diesel,140,Automat,16,7.35,https://www.busscenter.se/sv-SE/1383-39080081
"Mercedes-Benz 516 CDI Sprinter Multiline L, 22 pass",1379,2013,Diesel,120,Automat,22,7.65,https://www.busscenter.se/sv-SE/1379-39080154
"Iveco First Tourline, 27+1 pass",1376,2013,Diesel,125,Automat,27+1,"8,04",https://www.busscenter.se/sv-SE/1376-39080227
"Mercedes-Benz 516 CDI Sprinter Tourline, 19 pass",1356,2013,Diesel,120,Automat,19,7.35,https://www.busscenter.se/sv-SE/1356-39080291
"Mercedes-Benz 516 CDI Sprinter Multiline L, 22 pass",1354,2013,Diesel,120,Automat,22,7.65,https://www.busscenter.se/sv-SE/1354-39080469
"Mercedes-Benz 516 CDI Sprinter Tourline, 19 pass",1352,2013,Diesel,120,Automat,19,7.35,https://www.busscenter.se/sv-SE/1352-39080546
